id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
339378,TH-0006,small_airport,Thung Si Kan Airport,13.94571,100.57441,10,AS,Thailand,TH,Bangkok (special administrative area),TH-10,10,Don Mueang,0,,,,,,,50,2021-10-13T23:54:39+00:00
354707,TH-0025,small_airport,Dropzone Thailand Airport,12.6714,101.5476,,AS,Thailand,TH,Rayong Province,TH-21,21,Klaeng,0,,,,,,,50,2022-09-04T13:55:02+00:00
339968,TH-0013,small_airport,Ko Chan Airport,13.3938,101.32055,,AS,Thailand,TH,Chonburi Province,TH-20,20,Ko Chan,0,,,,,,,50,2022-09-04T13:53:24+00:00
32598,VTCS,small_airport,Mae Sariang Airport,18.180962,97.930627,750,AS,Thailand,TH,Mae Hong Son Province,TH-58,58,Mae Sariang,0,VTCS,,,,,,50,2022-12-24T18:50:26+00:00
298312,YTBF,small_airport,Pattaya Airpark,12.8325,100.949444,100,AS,Thailand,TH,Chonburi Province,TH-20,20,Pattaya (Bang Lamung),0,VTBF,,,,https://en.wikipedia.org/wiki/Pattaya_Airpark,,50,2022-09-04T20:07:38+00:00
339970,TH-0015,small_airport,Best Ocean Airpark,13.54018,100.32936,,AS,Thailand,TH,Samut Sakhon Province,TH-74,74,Samut Sakhon,0,,,,,,,50,2021-01-21T15:14:37+00:00
505238,TH-0042,small_airport,Chiang Mai Airsports,18.70403,99.11917,1020,AS,Thailand,TH,Chiang Mai Province,TH-50,50,San Kamphaeng,0,,,,,,,50,2022-12-03T06:41:03+00:00
339966,TH-0011,small_airport,Nong Khor Airfield,13.14027,101.04642,,AS,Thailand,TH,Chonburi Province,TH-20,20,Si Racha,0,,,,,,,50,2021-01-21T15:07:42+00:00
354715,TH-0028,small_airport,Saha Group Airport,13.09147,100.96813,,AS,Thailand,TH,Chonburi Province,TH-20,20,Si Racha,0,,,,,,,50,2022-09-04T13:19:38+00:00
354701,TH-0023,small_airport,Banana,13.14421,101.106062,,AS,Thailand,TH,Chonburi Province,TH-20,20,Si Racha District,0,,,,,,,50,2022-05-30T07:05:39+00:00
354573,VTSW,small_airport,Phuket Airpark,8.018733,98.40291,20,AS,Thailand,TH,Phuket Province,TH-83,83,Talang,0,VTSW,,,http://www.phuketairpark.com/,,,50,2022-05-25T11:52:38+00:00
26684,VTUO,medium_airport,Buri Ram Airport,15.22949982,103.2529984,590,AS,Thailand,TH,Buriram Province,TH-31,31,,1,VTUO,BFV,,,https://en.wikipedia.org/wiki/Buriram_Airport,,750,2008-06-13T14:30:04+00:00
26666,VTSC,medium_airport,Narathiwat Airport,6.519919872,101.7429962,16,AS,Thailand,TH,Narathiwat Province,TH-96,96,,1,VTSC,NAW,,,https://en.wikipedia.org/wiki/Narathiwat_Airport,,750,2008-06-13T14:30:04+00:00
26673,VTSN,medium_airport,Cha Eian Airport,8.471150398,99.95559692,44,AS,Thailand,TH,Nakhon Si Thammarat Province,TH-80,80,Nakhon Si Thammarat,0,VTSN,,,,https://en.wikipedia.org/wiki/Cha_Eian_Airport,NST,750,2015-12-20T03:30:54+00:00
26680,VTUJ,medium_airport,Surin Airport,14.86830044,103.4980011,478,AS,Thailand,TH,Surin Province,TH-32,32,Surin,1,VTUJ,PXR,,,https://en.wikipedia.org/wiki/Surin_Airport,Surin Bhakdi Airport,500,2016-01-15T00:13:15+00:00
26651,VTCP,medium_airport,Phrae Airport,18.13220024,100.1650009,538,AS,Thailand,TH,Phrae Province,TH-54,54,,0,VTCP,PRH,,,,,275,2008-06-13T14:30:04+00:00
26671,VTSK,medium_airport,Pattani Airport,6.785459995,101.1539993,8,AS,Thailand,TH,Pattani Province,TH-94,94,,0,VTSK,PAN,,,,,275,2008-06-13T14:30:04+00:00
26670,VTSH,medium_airport,Songkhla Airport,7.186560154,100.6080017,12,AS,Thailand,TH,Songkhla Province,TH-90,90,,0,VTSH,SGZ,,,,,250,2008-06-13T14:30:04+00:00
353792,BTZ,medium_airport,Betong International Airport,5.79,101.15,761,AS,Thailand,TH,Yala Province,TH-95,95,Betong,0,,BTZ,,,,,250,2022-03-29T13:37:25+00:00
26641,VTBK,medium_airport,Kamphaeng Saen Airport,14.10200024,99.91719818,30,AS,Thailand,TH,Suphan Buri Province,TH-72,72,Nakhon Pathom,0,VTBK,KDT,,,,,250,2013-02-23T14:42:24+00:00
302310,VTCO,small_airport,Lamphun Airport,18.546816,99.012029,925,AS,Thailand,TH,Lamphun Province,TH-51,51,,1,VTCO,,,,https://en.wikipedia.org/wiki/Lamphun_Airport,,100,2012-08-04T23:25:07+00:00
26639,VTBH,small_airport,Sa Pran Nak Airport,14.94939995,100.6429977,95,AS,Thailand,TH,Lopburi Province,TH-16,16,,0,VTBH,KKM,,,,,50,2012-11-22T11:32:45+00:00
26686,VTUR,small_airport,Rob Muang Airport,16.07040024,103.6460037,459,AS,Thailand,TH,Roi Et Province,TH-45,45,,0,VTUR,,,,,,50,2008-06-13T14:30:04+00:00
354713,TH-0027,small_airport,Lanna Airfield,18.67614,99.10522,,AS,Thailand,TH,Chiang Mai Province,TH-50,50,,0,,,,,,,50,2022-05-30T07:36:41+00:00
26659,VTPN,small_airport,Nakhon Sawan Airport,15.67300034,100.137001,113,AS,Thailand,TH,Nakhon Sawan Province,TH-60,60,,0,VTPN,,,,,,50,2008-06-13T14:30:04+00:00
26663,VTPY,small_airport,Khunan Phumipol Airport,17.23419952,99.05789948,492,AS,Thailand,TH,Tak Province,TH-63,63,,0,VTPY,,,,,,50,2008-06-13T14:30:04+00:00
26657,VTPL,small_airport,Sak Long Airport,16.82430077,101.2509995,500,AS,Thailand,TH,Phetchabun Province,TH-67,67,,0,VTPL,,,,,,50,2008-06-13T14:30:04+00:00
